VAL;ST;Len;Type;Min;Max;Description
VAL;DIU;1;C;0;0;do you take any current medication? (choice=diuretics)_no
VAL;DIU;1;C;1;1;do you take any current medication? (choice=diuretics)_yes
NAME;DIU;1;C;;;do you take any current medication? (choice=diuretics)
VAL;HOR;1;C;0;0;do you take any current medication? (choice=hormone-replacement therapy)_no
VAL;HOR;1;C;1;1;do you take any current medication? (choice=hormone-replacement therapy)_yes
NAME;HOR;1;C;;;do you take any current medication? (choice=hormone-replacement therapy)
VAL;INS;1;C;0;0;do you take any current medication? (choice=insulin)_no
NAME;INS;1;C;;;do you take any current medication? (choice=insulin)
VAL;MEDI;1;C;0;0;do you take any current medication? (choice=none:)_no
VAL;MEDI;1;C;1;1;do you take any current medication? (choice=none:)_yes
NAME;MEDI;1;C;;;do you take any current medication? (choice=none:)
VAL;ORH;1;C;0;0;do you take any current medication? (choice=oral hypoglycaemic agents)_no
NAME;ORH;1;C;;;do you take any current medication? (choice=oral hypoglycaemic agents)
VAL;OAH;1;C;0;0;do you take any current medication? (choice=other antihypertensive agents)_no
VAL;OAH;1;C;1;1;do you take any current medication? (choice=other antihypertensive agents)_yes
VAL;OAH;1;C;2;2;do you take any current medication? (choice=other antihypertensive agents)_yes, bisoprolol fumarate, olmesartan mexodimil
VAL;OAH;1;C;3;3;do you take any current medication? (choice=other antihypertensive agents)_yes, candersastan
VAL;OAH;1;C;4;4;do you take any current medication? (choice=other antihypertensive agents)_yes, amlodipine
NAME;OAH;1;C;;;do you take any current medication? (choice=other antihypertensive agents)
VAL;OLP;1;C;0;0;do you take any current medication? (choice=other lipid-lowering agents)_no
VAL;OLP;1;C;1;1;do you take any current medication? (choice=other lipid-lowering agents)_yes
NAME;OLP;1;C;;;do you take any current medication? (choice=other lipid-lowering agents)
VAL;STH;1;C;0;0;do you take any current medication? (choice=others)_no
VAL;STH;1;C;1;1;do you take any current medication? (choice=others)_yes
VAL;STH;1;C;2;2;do you take any current medication? (choice=others)_promethazine
VAL;STH;1;C;3;3;do you take any current medication? (choice=others)_period pain management
VAL;STH;1;C;4;4;do you take any current medication? (choice=others)_fexofenadine for hay fever
NAME;STH;1;C;;;do you take any current medication? (choice=others)
VAL;PAC;1;C;0;0;do you take any current medication? (choice=pain medication)_no
VAL;PAC;1;C;1;1;do you take any current medication? (choice=pain medication)_yes
NAME;PAC;1;C;;;do you take any current medication? (choice=pain medication)
VAL;STA;1;C;0;0;do you take any current medication? (choice=statins)_no
VAL;STA;1;C;1;1;do you take any current medication? (choice=statins)_yes
VAL;STA;1;C;2;2;do you take any current medication? (choice=statins)_yes, atorvastatin, ezetimibe
NAME;STA;1;C;;;do you take any current medication? (choice=statins)
VAL;SUP;1;C;0;0;do you take any current medication? (choice=supplements (vitamins, minerals, fatty acids, probiotics))_no
VAL;SUP;1;C;1;1;do you take any current medication? (choice=supplements (vitamins, minerals, fatty acids, probiotics))_yes
VAL;SUP;1;C;2;2;do you take any current medication? (choice=supplements (vitamins, minerals, fatty acids, probiotics))_yes, vitamin supplements
NAME;SUP;1;C;;;do you take any current medication? (choice=supplements (vitamins, minerals, fatty acids, probiotics))
VAL;NAP;1;C;0;0;do you take naps during the day?_no
VAL;NAP;1;C;1;1;do you take naps during the day?_yes
VAL;NAP;1;C;2;2;do you take naps during the day?_1.0
